year,city,country,avg_temp,Global yearly 10-year moving average
1743,Copenhagen,Denmark,6.37,
1744,Copenhagen,Denmark,9.29,
1745,Copenhagen,Denmark,0.09,
1746,Copenhagen,Denmark,,
1747,Copenhagen,Denmark,,
1748,Copenhagen,Denmark,,
1749,Copenhagen,Denmark,,
1750,Copenhagen,Denmark,8.89,
1751,Copenhagen,Denmark,8.33,
1752,Copenhagen,Denmark,4.22,6.198333333
1753,Copenhagen,Denmark,7.61,6.405
1754,Copenhagen,Denmark,7.46,6.1
1755,Copenhagen,Denmark,7.28,7.298333333
1756,Copenhagen,Denmark,8.15,7.42
1757,Copenhagen,Denmark,8.16,7.5125
1758,Copenhagen,Denmark,7.17,7.474444444
1759,Copenhagen,Denmark,8.28,7.555
1760,Copenhagen,Denmark,7.83,7.449
1761,Copenhagen,Denmark,8.54,7.47
1762,Copenhagen,Denmark,7.39,7.787
1763,Copenhagen,Denmark,7.33,7.759
1764,Copenhagen,Denmark,7.82,7.795
1765,Copenhagen,Denmark,7.43,7.81
1766,Copenhagen,Denmark,8.03,7.798
1767,Copenhagen,Denmark,7.14,7.696
1768,Copenhagen,Denmark,7.19,7.698
1769,Copenhagen,Denmark,7.6,7.63
1770,Copenhagen,Denmark,7.6,7.607
1771,Copenhagen,Denmark,6.65,7.418
1772,Copenhagen,Denmark,7.62,7.441
1773,Copenhagen,Denmark,8.64,7.572
1774,Copenhagen,Denmark,7.16,7.506
1775,Copenhagen,Denmark,8.87,7.65
1776,Copenhagen,Denmark,7.73,7.62
1777,Copenhagen,Denmark,7.34,7.64
1778,Copenhagen,Denmark,8.15,7.736
1779,Copenhagen,Denmark,9.55,7.931
1780,Copenhagen,Denmark,7.78,7.949
1781,Copenhagen,Denmark,8.82,8.166
1782,Copenhagen,Denmark,7.13,8.117
1783,Copenhagen,Denmark,8.7,8.123
1784,Copenhagen,Denmark,6.47,8.054
1785,Copenhagen,Denmark,6.61,7.828
1786,Copenhagen,Denmark,6.56,7.711
1787,Copenhagen,Denmark,8.01,7.778
1788,Copenhagen,Denmark,7.3,7.693
1789,Copenhagen,Denmark,8.11,7.549
1790,Copenhagen,Denmark,8.13,7.584
1791,Copenhagen,Denmark,8.51,7.553
1792,Copenhagen,Denmark,7.91,7.631
1793,Copenhagen,Denmark,8.12,7.573
1794,Copenhagen,Denmark,8.93,7.819
1795,Copenhagen,Denmark,7.49,7.907
1796,Copenhagen,Denmark,8.1,8.061
1797,Copenhagen,Denmark,8.91,8.151
1798,Copenhagen,Denmark,8.58,8.279
1799,Copenhagen,Denmark,5.89,8.057
1800,Copenhagen,Denmark,7.33,7.977
1801,Copenhagen,Denmark,8.43,7.969
1802,Copenhagen,Denmark,7.78,7.956
1803,Copenhagen,Denmark,6.99,7.843
1804,Copenhagen,Denmark,7.35,7.685
1805,Copenhagen,Denmark,6.38,7.574
1806,Copenhagen,Denmark,8.2,7.584
1807,Copenhagen,Denmark,7.99,7.492
1808,Copenhagen,Denmark,7.42,7.376
1809,Copenhagen,Denmark,7.39,7.526
1810,Copenhagen,Denmark,7.31,7.524
1811,Copenhagen,Denmark,8.77,7.558
1812,Copenhagen,Denmark,6.44,7.424
1813,Copenhagen,Denmark,7.85,7.51
1814,Copenhagen,Denmark,6.43,7.418
1815,Copenhagen,Denmark,7.51,7.531
1816,Copenhagen,Denmark,6.73,7.384
1817,Copenhagen,Denmark,7.82,7.367
1818,Copenhagen,Denmark,8.2,7.445
1819,Copenhagen,Denmark,8.52,7.558
1820,Copenhagen,Denmark,6.93,7.52
1821,Copenhagen,Denmark,7.95,7.438
1822,Copenhagen,Denmark,9.19,7.713
1823,Copenhagen,Denmark,7.35,7.663
1824,Copenhagen,Denmark,8.58,7.878
1825,Copenhagen,Denmark,8.42,7.969
1826,Copenhagen,Denmark,8.77,8.173
1827,Copenhagen,Denmark,7.87,8.178
1828,Copenhagen,Denmark,7.99,8.157
1829,Copenhagen,Denmark,5.77,7.882
1830,Copenhagen,Denmark,7.04,7.893
1831,Copenhagen,Denmark,8.15,7.913
1832,Copenhagen,Denmark,7.64,7.758
1833,Copenhagen,Denmark,7.83,7.806
